Format Version,1.23,Take Name,Take 2024-05-10 11.31.19 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-05-10 11.31.19.221 AM,Total Frames in Take,9420,Total Exported Frames,9420,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,drone,drone,drone,drone,drone,drone,drone
,ID,"D0EC16A40EB511EFEAE2C7CD3AE76489","D0EC16A40EB511EFEAE2C7CD3AE76489","D0EC16A40EB511EFEAE2C7CD3AE76489","D0EC16A40EB511EFEAE2C7CD3AE76489","D0EC16A40EB511EFEAE2C7CD3AE76489","D0EC16A40EB511EFEAE2C7CD3AE76489","D0EC16A40EB511EFEAE2C7CD3AE76489"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,w,X,Y,Z
0,0.000000,-0.002073,0.008540,0.008965,-0.999921,89.155853,222.630280,-144.556259
1,0.008333,-0.002088,0.008508,0.008968,-0.999922,89.126053,222.641464,-144.575119
2,0.016667,-0.002043,0.008564,0.009006,-0.999921,89.119659,222.647583,-144.573669
3,0.025000,-0.002081,0.008536,0.008951,-0.999921,89.129028,222.638245,-144.566345
4,0.033333,-0.002046,0.008539,0.009008,-0.999921,89.126152,222.630890,-144.562973
5,0.041667,-0.002094,0.008560,0.009001,-0.999921,89.126198,222.637085,-144.568832
6,0.050000,-0.002083,0.008562,0.008968,-0.999921,89.119598,222.641922,-144.582397
7,0.058333,-0.002075,0.008522,0.008930,-0.999922,89.132446,222.646744,-144.582108
8,0.066667,-0.002083,0.008569,0.008984,-0.999921,89.133408,222.640045,-144.578766
9,0.075000,-0.002088,0.008553,0.008969,-0.999921,89.145668,222.639023,-144.583191
10,0.083333,-0.002074,0.008576,0.008953,-0.999921,89.154785,222.635422,-144.578918
11,0.091667,-0.002027,0.008582,0.009011,-0.999921,89.155121,222.661667,-144.575394
12,0.100000,-0.002121,0.008591,0.008908,-0.999921,89.146820,222.644577,-144.597290
13,0.108333,-0.002057,0.008573,0.008976,-0.999921,89.151505,222.652969,-144.575424
14,0.116667,-0.002119,0.008578,0.008977,-0.999921,89.162766,222.648834,-144.581650
15,0.125000,-0.002120,0.008586,0.008971,-0.999921,89.153519,222.646103,-144.582840
16,0.133333,-0.002121,0.008615,0.008996,-0.999920,89.138992,222.649094,-144.588425
17,0.141667,-0.002035,0.008592,0.009022,-0.999920,89.139236,222.651199,-144.574051
18,0.150000,,,,,,,
19,0.158333,-0.002098,0.008574,0.008951,-0.999921,89.178238,222.665207,-144.592926
20,0.166667,-0.002113,0.008580,0.008903,-0.999921,89.195862,222.648483,-144.587097
21,0.175000,-0.002084,0.008617,0.008957,-0.999921,89.172241,222.667557,-144.592728
22,0.183333,-0.002066,0.008569,0.008987,-0.999921,89.195801,222.662704,-144.595032
23,0.191667,-0.002045,0.008584,0.009022,-0.999920,89.210373,222.666489,-144.580414
24,0.200000,-0.002018,0.008540,0.009030,-0.999921,89.211838,222.670135,-144.589539
25,0.208333,-0.002053,0.008582,0.009018,-0.999920,89.188934,222.649780,-144.599594
26,0.216667,-0.002062,0.008570,0.008938,-0.999921,89.189117,222.656006,-144.604202
27,0.225000,-0.002111,0.008570,0.008936,-0.999921,89.189667,222.649216,-144.599167
28,0.233333,-0.002048,0.008563,0.009003,-0.999921,89.193611,222.660675,-144.588516
29,0.241667,-0.002071,0.008536,0.008967,-0.999921,89.195862,222.645920,-144.598846
30,0.250000,-0.002070,0.008539,0.008951,-0.999921,89.177948,222.642776,-144.597260
31,0.258333,-0.002055,0.008566,0.008989,-0.999921,89.179497,222.663818,-144.594894
32,0.266667,-0.002047,0.008556,0.009016,-0.999921,89.171082,222.656555,-144.589050
33,0.275000,-0.002020,0.008535,0.009009,-0.999921,89.178009,222.649155,-144.584641
34,0.283333,-0.002083,0.008535,0.008962,-0.999921,89.168472,222.665146,-144.594315
35,0.291667,-0.002104,0.008572,0.008932,-0.999921,89.150368,222.652328,-144.615387
36,0.300000,-0.002018,0.008582,0.009017,-0.999920,89.147079,222.656631,-144.595352
37,0.308333,-0.002083,0.008580,0.008960,-0.999921,89.143311,222.655869,-144.600891
38,0.316667,-0.002100,0.008569,0.008988,-0.999921,89.131592,222.638412,-144.620865
39,0.325000,-0.002116,0.008618,0.008947,-0.999921,89.113037,222.646744,-144.628448
40,0.333333,-0.002086,0.008605,0.008931,-0.999921,89.119461,222.646896,-144.605484
41,0.341667,-0.002135,0.008643,0.008941,-0.999920,89.076523,222.604630,-144.584381
42,0.350000,-0.002121,0.008605,0.008935,-0.999921,89.068069,222.615265,-144.594864
43,0.358333,-0.002121,0.008633,0.008941,-0.999921,89.027054,222.606339,-144.623978
44,0.366667,-0.002163,0.008684,0.008948,-0.999920,89.031273,222.607742,-144.604813
45,0.375000,-0.002112,0.008678,0.009003,-0.999920,89.044479,222.632675,-144.607437
46,0.383333,-0.002155,0.008671,0.008987,-0.999920,89.004875,222.596558,-144.624481
47,0.391667,-0.002119,0.008665,0.008973,-0.999920,89.029015,222.592697,-144.614380
48,0.400000,-0.002089,0.008657,0.008986,-0.999920,89.031097,222.591797,-144.607315
49,0.408333,-0.002112,0.008676,0.008982,-0.999920,89.012756,222.581955,-144.611679
50,0.416667,-0.002099,0.008666,0.008986,-0.999920,89.027328,222.591278,-144.619019
51,0.425000,-0.002045,0.008673,0.009016,-0.999920,88.990700,222.592041,-144.612579
52,0.433333,-0.002097,0.008648,0.008933,-0.999921,89.020058,222.604935,-144.617462
53,0.441667,-0.002083,0.008637,0.009000,-0.999920,89.020294,222.571640,-144.623810
54,0.450000,-0.002102,0.008612,0.009003,-0.999920,88.979538,222.580231,-144.622192
55,0.458333,-0.002095,0.008599,0.008970,-0.999921,89.024124,222.625641,-144.659576
56,0.466667,-0.002153,0.008616,0.008937,-0.999921,88.984993,222.581131,-144.633789
57,0.475000,-0.002069,0.008620,0.009018,-0.999920,88.970825,222.602310,-144.610672
58,0.483333,-0.002116,0.008621,0.008915,-0.999921,88.996704,222.607162,-144.648026
